gene,gene_type,log2FC_g0_minus_g1,t,p,abs_t
RN7SL214P,misc_RNA,-3.2697294,-39.86149,0.0,39.86149
RN7SL87P,misc_RNA,-2.6534817,-39.740913,0.0,39.740913
RN7SL606P,misc_RNA,-2.3542244,-39.71878,0.0,39.71878
SPCS1,protein_coding,1.9828081,39.60308,0.0,39.60308
RNY1,misc_RNA,-6.846241,-39.528996,0.0,39.528996
SNORD3B-2,snoRNA,-4.4419813,-39.51574,0.0,39.51574
G6PC3,protein_coding,2.320922,39.47353,0.0,39.47353
H2AC11,protein_coding,-4.5650034,-39.457523,0.0,39.457523
RN7SKP6,misc_RNA,-3.237902,-39.448994,0.0,39.448994
RPLP1,protein_coding,2.5184364,39.448437,0.0,39.448437
RN7SL182P,misc_RNA,-1.9341873,-39.446938,0.0,39.446938
HMBS,protein_coding,2.2173269,39.362034,0.0,39.362034
RHOG,protein_coding,2.5331073,39.357048,0.0,39.357048
RN7SL426P,misc_RNA,-2.3939028,-39.32043,0.0,39.32043
H2BC14,protein_coding,-4.9195895,-39.290043,0.0,39.290043
SNORD15B,snoRNA,-4.735938,-39.26397,0.0,39.26397
MT-CO1,protein_coding,4.164692,39.256573,0.0,39.256573
H4C11,protein_coding,-4.047867,-39.228325,0.0,39.228325
RPS28P4,processed_pseudogene,2.8318288,39.17775,0.0,39.17775
RN7SL482P,misc_RNA,-4.1178927,-39.14381,0.0,39.14381
TMEM14DP,processed_pseudogene,2.1215765,38.97062,0.0,38.97062
RNVU1-7,snRNA,-4.4786234,-38.933083,0.0,38.933083
RN7SL627P,misc_RNA,-2.947669,-38.92842,0.0,38.92842
RN7SL297P,misc_RNA,-2.6098056,-38.90771,0.0,38.90771
RN7SL413P,misc_RNA,-1.8288229,-38.89041,0.0,38.89041
NME2P1,processed_pseudogene,2.2360282,38.845818,0.0,38.845818
RN7SL856P,misc_RNA,-1.7856398,-38.8302,0.0,38.8302
RN7SKP91,misc_RNA,-2.0433145,-38.759266,0.0,38.759266
CAPNS1,protein_coding,2.1042,38.74463,0.0,38.74463
C6orf226,protein_coding,2.539761,38.699467,0.0,38.699467
RAC1P2,processed_pseudogene,2.589715,38.68477,0.0,38.68477
UBALD1,protein_coding,2.3983853,38.650116,0.0,38.650116
ATP5PF,protein_coding,2.1635365,38.64777,0.0,38.64777
RN7SL496P,misc_RNA,-2.4621325,-38.576782,0.0,38.576782
RN7SL652P,misc_RNA,-2.1410947,-38.571487,0.0,38.571487
CAPZB,protein_coding,1.9029224,38.55346,0.0,38.55346
MTND4P24,processed_pseudogene,2.905247,38.44556,0.0,38.44556
UBE2B,protein_coding,2.4018917,38.435722,0.0,38.435722
U7,snRNA,-3.4388762,-38.41457,0.0,38.41457
RN7SL448P,misc_RNA,-2.6461055,-38.289097,0.0,38.289097
GSK3A,protein_coding,2.2615676,38.278507,0.0,38.278507
EIF5A,protein_coding,2.0159655,38.19197,0.0,38.19197
MAPK3,protein_coding,1.985754,38.181095,0.0,38.181095
RN7SL680P,misc_RNA,-3.3458617,-38.139206,0.0,38.139206
AC116533.1,processed_pseudogene,3.0412698,38.10972,0.0,38.10972
RN7SL145P,misc_RNA,-2.8120613,-38.104366,0.0,38.104366
MTCO2P12,unprocessed_pseudogene,3.6431386,38.086323,0.0,38.086323
SNORA5A,snoRNA,-3.3180952,-37.849422,0.0,37.849422
Y_RNA,misc_RNA,-4.1169477,-37.76216,0.0,37.76216
SNORD94,snoRNA,-4.106869,-37.76173,0.0,37.76173
MTCO1P53,processed_pseudogene,2.6972787,37.752308,0.0,37.752308
MOSPD3,protein_coding,2.1748881,37.70554,0.0,37.70554
SMDT1,protein_coding,2.3065162,37.704353,0.0,37.704353
RNVU1-28,snRNA,-5.327224,-37.576,0.0,37.576
MLF2,protein_coding,2.0752478,37.546413,0.0,37.546413
H4C12,protein_coding,-3.3634655,-37.530285,0.0,37.530285
CLIP3,protein_coding,3.301899,37.514866,0.0,37.514866
RAB5C,protein_coding,1.7090054,37.502937,0.0,37.502937
RN7SL615P,misc_RNA,-2.5815098,-37.47969,0.0,37.47969
RPS18P12,processed_pseudogene,2.8588252,37.428738,0.0,37.428738
RC3H1-IT1,lncRNA,-2.4849753,-37.41822,0.0,37.41822
AC008957.2,lncRNA,-4.227915,-37.412903,0.0,37.412903
MRPL12,protein_coding,2.1785283,37.39767,0.0,37.39767
AL590867.2,processed_pseudogene,2.5222821,37.365223,0.0,37.365223
RN7SL625P,misc_RNA,-2.296196,-37.360943,0.0,37.360943
AC100814.1,lncRNA,2.7478433,37.350895,0.0,37.350895
RN7SL200P,misc_RNA,-1.8968945,-37.306355,0.0,37.306355
ELOC,protein_coding,1.8306496,37.300827,0.0,37.300827
RN7SL481P,misc_RNA,-3.1858492,-37.260353,0.0,37.260353
RN7SL617P,misc_RNA,-3.8231955,-37.186394,0.0,37.186394
RNU6-2,snRNA,-4.513876,-37.175175,0.0,37.175175
COPS6,protein_coding,1.9350758,37.146362,0.0,37.146362
