variant,gene_set,n_pcs,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,BioValidity_ARI,BioValidity_NMI,min_cluster_size,size_balance,cluster_sizes
V1,MAD_2000_PC,8,Ward,7,0.1324,155.8,1.768,0.2983,0.1323,0.2278,33,0.458,"62,72,51,33,41,33,36"
V1,MAD_2000_PC,8,GMM,3,0.3382,263.5,1.4803,0.8474,0.0294,0.062,41,0.219,"187,41,100"
V1,MAD_2000_PC,8,GMM,4,0.1714,214.3,1.9454,0.5252,0.1059,0.1267,41,0.41,"41,97,100,90"
V1,MAD_2000_PC,8,GMM,5,0.1558,174.8,1.8786,0.4625,0.1303,0.1687,29,0.299,"29,90,80,97,32"
V1,MAD_2000_PC,8,GMM,6,0.1528,168.9,1.8363,0.358,0.1078,0.1672,29,0.362,"65,80,69,53,29,32"
V1,MAD_2000_PC,8,GMM,7,0.1124,131.9,1.9325,0.3195,0.1961,0.2659,19,0.25,"66,54,76,24,19,44,45"
V1,MAD_2000_PC,8,Spectral,3,0.3461,322.6,1.2945,0.6759,0.032,0.0438,91,0.645,"141,96,91"
V1,MAD_2000_PC,8,Spectral,4,0.2431,258.2,1.4924,0.5188,0.0686,0.0941,44,0.454,"97,96,91,44"
V1,MAD_2000_PC,8,Spectral,5,0.2056,211.9,1.5968,0.4235,0.1247,0.1763,44,0.454,"97,47,58,44,82"
V1,MAD_2000_PC,8,Spectral,6,0.1734,182.7,1.6541,0.3435,0.167,0.2348,39,0.476,"62,82,47,40,58,39"
V1,MAD_2000_PC,8,Spectral,7,0.1794,160.1,1.5931,0.3132,0.1658,0.2492,21,0.256,"21,58,82,39,47,46,35"
V1,MAD_2000_PC,10,KMeans,3,0.3304,296.0,1.3415,0.6761,0.0251,0.0368,90,0.638,"97,141,90"
V1,MAD_2000_PC,10,KMeans,4,0.2271,235.5,1.5765,0.5087,0.0613,0.0802,50,0.515,"97,91,50,90"
V1,MAD_2000_PC,10,KMeans,5,0.1952,195.9,1.7082,0.4015,0.1025,0.1459,50,0.549,"61,91,63,50,63"
V1,MAD_2000_PC,10,KMeans,6,0.1878,168.9,1.7434,0.3498,0.1212,0.1915,40,0.44,"91,52,50,50,40,45"
V1,MAD_2000_PC,10,KMeans,7,0.155,151.1,1.8533,0.2766,0.1434,0.2109,38,0.667,"46,38,42,51,57,48,46"
V1,MAD_2000_PC,10,Ward,3,0.3091,274.7,1.4469,0.7078,0.0212,0.0478,64,0.454,"141,123,64"
V1,MAD_2000_PC,10,Ward,4,0.1976,213.3,1.613,0.5764,0.0411,0.0871,33,0.268,"123,108,64,33"
V1,MAD_2000_PC,10,Ward,5,0.1741,183.3,1.789,0.4515,0.0584,0.1219,33,0.306,"64,108,81,33,42"
V1,MAD_2000_PC,10,Ward,6,0.1735,157.9,1.68,0.4141,0.0704,0.1671,32,0.296,"108,42,81,33,32,32"
V1,MAD_2000_PC,10,Ward,7,0.1247,140.3,1.7635,0.3286,0.0953,0.2055,30,0.37,"81,42,78,33,32,32,30"
V1,MAD_2000_PC,10,GMM,3,0.298,251.3,1.6238,0.7662,0.0475,0.1002,44,0.308,"44,141,143"
V1,MAD_2000_PC,10,GMM,4,0.164,189.7,1.8497,0.6433,0.0526,0.1171,37,0.25,"37,39,104,148"
V1,MAD_2000_PC,10,GMM,5,0.1196,151.9,2.0383,0.5354,0.0791,0.1561,33,0.229,"33,43,65,144,43"
V1,MAD_2000_PC,10,GMM,7,0.1264,129.7,1.9962,0.3033,0.1121,0.2007,25,0.368,"63,56,39,25,68,49,28"
V1,MAD_2000_PC,10,Spectral,3,0.3286,294.2,1.3564,0.6777,0.0319,0.0435,86,0.61,"86,141,101"
V1,MAD_2000_PC,10,Spectral,4,0.2244,233.4,1.5884,0.5109,0.0655,0.0832,49,0.495,"92,99,88,49"
V1,MAD_2000_PC,10,Spectral,5,0.1933,192.4,1.7256,0.41,0.1174,0.1524,49,0.533,"92,78,57,52,49"
V1,MAD_2000_PC,10,Spectral,6,0.1629,163.6,1.8122,0.3403,0.1585,0.2187,33,0.423,"46,78,52,62,33,57"
V1,MAD_2000_PC,10,Spectral,7,0.1521,146.0,1.8281,0.2908,0.175,0.2805,33,0.5,"62,34,40,33,47,46,66"
V1,MAD_2000_PC,15,KMeans,3,0.3057,261.0,1.4393,0.6761,0.0251,0.0368,90,0.638,"97,141,90"
V1,MAD_2000_PC,15,KMeans,4,0.2035,204.9,1.701,0.5087,0.0613,0.0802,50,0.515,"91,90,50,97"
V1,MAD_2000_PC,15,KMeans,5,0.1704,168.6,1.8736,0.402,0.094,0.1325,50,0.549,"65,91,58,50,64"
V1,MAD_2000_PC,15,KMeans,6,0.1631,144.5,1.9086,0.3487,0.1225,0.1928,38,0.422,"90,49,50,38,51,50"
V1,MAD_2000_PC,15,KMeans,7,0.1448,128.5,1.9504,0.2872,0.142,0.2317,33,0.508,"65,48,43,33,52,54,33"
V1,MAD_2000_PC,15,Ward,3,0.2917,248.0,1.5439,0.6869,0.0169,0.0325,76,0.539,"141,111,76"
V1,MAD_2000_PC,15,Ward,4,0.1791,189.4,1.7458,0.5557,0.0454,0.0893,33,0.297,"111,108,76,33"
V1,MAD_2000_PC,15,Ward,5,0.1537,158.9,1.9196,0.4428,0.0905,0.1512,33,0.306,"76,108,57,33,54"
V1,MAD_2000_PC,15,Ward,6,0.15,135.5,1.8876,0.3952,0.0982,0.1898,26,0.241,"108,33,57,50,54,26"
V1,MAD_2000_PC,15,Ward,7,0.1194,119.9,2.0497,0.297,0.153,0.2483,26,0.377,"57,33,69,50,54,26,39"
V1,MAD_2000_PC,15,GMM,3,0.2814,224.7,1.7418,0.7626,0.0521,0.1045,45,0.317,"45,141,142"
V1,MAD_2000_PC,15,GMM,4,0.1295,167.2,2.1862,0.5841,0.0799,0.1225,45,0.317,"59,142,82,45"
V1,MAD_2000_PC,15,GMM,5,0.1228,132.9,2.0252,0.5365,0.0876,0.1632,23,0.162,"142,67,51,23,45"
V1,MAD_2000_PC,15,GMM,6,0.1306,115.2,1.9808,0.4954,0.1184,0.221,20,0.141,"20,45,48,142,39,34"
V1,MAD_2000_PC,15,GMM,7,0.1109,115.4,2.0363,0.3067,0.1463,0.1971,17,0.258,"44,66,37,40,60,17,64"
V1,MAD_2000_PC,15,Spectral,3,0.3053,259.9,1.4511,0.6756,0.0294,0.0406,93,0.66,"141,93,94"
V1,MAD_2000_PC,15,Spectral,4,0.2028,202.3,1.6752,0.5269,0.0573,0.0812,40,0.396,"101,94,93,40"
V1,MAD_2000_PC,15,Spectral,5,0.1709,164.2,1.8615,0.4287,0.0987,0.1391,40,0.396,"101,49,79,40,59"
