gene_set,n_genes,protein_coding_only,n_pcs,cum_explained_var,algorithm,k,silhouette,calinski_harabasz,davies_bouldin,batch_ARI,min_cluster_size,max_cluster_size,size_balance,cluster_sizes
MAD_2000_PC,2000,True,15,0.638,Spectral,5,0.1175,44.6,2.0429,-0.0004,41,86,0.477,"81,63,41,86,57"
MAD_2000_PC,2000,True,15,0.638,Spectral,6,0.1188,40.3,1.9949,0.0011,31,77,0.403,"71,32,65,52,31,77"
MAD_2000_PC,2000,True,15,0.638,Spectral,7,0.1155,37.5,1.9172,0.0001,27,70,0.386,"32,64,48,43,27,70,44"
MAD_2000_PC,2000,True,15,0.638,Spectral,8,0.1101,35.1,1.9507,-0.0034,26,69,0.377,"42,31,69,40,44,49,27,26"
MAD_2000_PC,2000,True,20,0.6777,KMeans,2,0.1675,75.7,1.9868,-0.0019,130,198,0.657,"130,198"
MAD_2000_PC,2000,True,20,0.6777,KMeans,3,0.1318,57.0,2.2159,-0.0023,78,132,0.591,"132,118,78"
MAD_2000_PC,2000,True,20,0.6777,KMeans,4,0.1227,49.1,2.18,-0.004,66,116,0.569,"66,76,116,70"
MAD_2000_PC,2000,True,20,0.6777,KMeans,5,0.117,43.5,2.1626,-0.0024,63,72,0.875,"63,72,65,64,64"
MAD_2000_PC,2000,True,20,0.6777,KMeans,6,0.12,39.8,2.0941,-0.0009,29,67,0.433,"65,67,59,56,52,29"
MAD_2000_PC,2000,True,20,0.6777,KMeans,7,0.1146,36.3,1.9858,-0.0,18,55,0.327,"18,52,54,55,46,55,48"
MAD_2000_PC,2000,True,20,0.6777,KMeans,8,0.1176,34.2,1.9879,-0.0001,27,53,0.509,"50,43,45,28,53,37,27,45"
MAD_2000_PC,2000,True,20,0.6777,Ward,2,0.1219,53.3,2.4157,-0.0031,150,178,0.843,"178,150"
MAD_2000_PC,2000,True,20,0.6777,Ward,3,0.0882,40.2,2.3434,-0.0041,40,150,0.267,"150,138,40"
MAD_2000_PC,2000,True,20,0.6777,Ward,4,0.0777,36.5,2.3144,-0.0058,40,138,0.29,"138,82,40,68"
MAD_2000_PC,2000,True,20,0.6777,Ward,5,0.0822,34.2,2.3394,-0.0006,40,82,0.488,"82,60,40,68,78"
MAD_2000_PC,2000,True,20,0.6777,Ward,6,0.0865,32.7,2.263,-0.0005,37,78,0.474,"45,60,40,68,78,37"
MAD_2000_PC,2000,True,20,0.6777,Ward,7,0.0923,30.3,2.0594,-0.0004,18,78,0.231,"60,78,40,68,27,37,18"
MAD_2000_PC,2000,True,20,0.6777,Ward,8,0.099,28.6,1.8795,-0.0003,4,78,0.051,"78,68,40,56,27,37,18,4"
MAD_2000_PC,2000,True,20,0.6777,GMM,2,0.0982,36.8,2.8053,0.002,118,210,0.562,"210,118"
MAD_2000_PC,2000,True,20,0.6777,GMM,3,0.0884,37.7,2.5433,-0.0037,76,137,0.555,"76,137,115"
MAD_2000_PC,2000,True,20,0.6777,GMM,4,0.0828,35.4,2.4379,-0.0009,70,92,0.761,"84,82,70,92"
MAD_2000_PC,2000,True,20,0.6777,GMM,5,0.0923,36.3,2.2416,-0.0018,57,83,0.687,"57,83,61,63,64"
MAD_2000_PC,2000,True,20,0.6777,GMM,6,0.0765,30.4,2.2297,-0.0029,29,70,0.414,"64,60,70,44,29,61"
MAD_2000_PC,2000,True,20,0.6777,Spectral,2,0.1685,72.2,1.9593,-0.0034,111,217,0.512,"217,111"
MAD_2000_PC,2000,True,20,0.6777,Spectral,3,0.1297,55.1,2.2096,-0.0012,75,143,0.524,"143,75,110"
MAD_2000_PC,2000,True,20,0.6777,Spectral,4,0.1158,47.0,2.1689,-0.0031,62,106,0.585,"106,69,91,62"
MAD_2000_PC,2000,True,20,0.6777,Spectral,5,0.1051,38.5,2.1187,-0.0014,41,89,0.461,"78,89,73,47,41"
MAD_2000_PC,2000,True,20,0.6777,Spectral,6,0.1104,37.1,2.1276,-0.0016,32,77,0.416,"36,77,45,32,70,68"
MAD_2000_PC,2000,True,20,0.6777,Spectral,7,0.1007,33.7,2.0981,-0.0022,28,72,0.389,"28,42,44,65,72,36,41"
MAD_2000_PC,2000,True,20,0.6777,Spectral,8,0.1005,31.7,2.0627,0.0014,27,60,0.45,"28,55,47,33,37,27,41,60"
MAD_2000_PC,2000,True,30,0.7324,KMeans,2,0.155,68.9,2.0835,-0.0019,130,198,0.657,"130,198"
MAD_2000_PC,2000,True,30,0.7324,KMeans,3,0.1212,51.4,2.3527,-0.0032,79,133,0.594,"79,133,116"
MAD_2000_PC,2000,True,30,0.7324,KMeans,4,0.1112,44.0,2.299,-0.0046,66,118,0.559,"73,66,118,71"
MAD_2000_PC,2000,True,30,0.7324,KMeans,5,0.1082,38.8,2.2786,-0.003,60,71,0.845,"67,64,66,60,71"
MAD_2000_PC,2000,True,30,0.7324,KMeans,6,0.1054,35.4,2.159,-0.0034,40,69,0.58,"69,61,45,60,53,40"
MAD_2000_PC,2000,True,30,0.7324,KMeans,7,0.1045,32.4,2.1006,-0.0026,19,58,0.328,"58,46,53,19,40,55,57"
MAD_2000_PC,2000,True,30,0.7324,KMeans,8,0.1112,29.8,1.9778,0.0013,4,61,0.066,"31,49,61,20,50,58,55,4"
MAD_2000_PC,2000,True,30,0.7324,Ward,2,0.1477,56.4,2.044,-0.0013,87,241,0.361,"241,87"
MAD_2000_PC,2000,True,30,0.7324,Ward,3,0.1049,43.2,2.6336,-0.0041,87,147,0.592,"94,87,147"
MAD_2000_PC,2000,True,30,0.7324,Ward,4,0.091,36.3,2.2961,-0.0055,40,147,0.272,"147,87,54,40"
MAD_2000_PC,2000,True,30,0.7324,Ward,5,0.0726,32.5,2.3392,-0.0016,36,111,0.324,"87,111,54,40,36"
MAD_2000_PC,2000,True,30,0.7324,Ward,6,0.0801,30.2,2.2659,0.0008,21,111,0.189,"111,40,54,66,36,21"
MAD_2000_PC,2000,True,30,0.7324,Ward,7,0.0818,28.1,2.3334,-0.0003,21,71,0.296,"54,40,71,66,36,21,40"
